pc_desert, Desert
pc_arid, Arid
pc_savannah, Savannah
pc_tropical, Tropical
pc_continental, Continental
pc_ocean, Ocean
pc_tundra, Tundra
pc_arctic, Arctic
pc_alpine, Alpine
pc_asteroid, Asteroid
pc_crystal_asteroid, TODO (lev)
pc_gas_giant, Gas Giant
pc_molten, TODO
pc_barren, Barren
pc_barren_cold, TODO
pc_toxic, TODO
pc_frozen, Frozen
pc_mem_destroyed_barren, Destroyed World (MEM)
pc_nuked, Tomb World
pc_shielded, Shielded World
pc_ai, TODO
pc_infested, TODO
pc_gaia, Gaia
pc_a_star, A Star
pc_b_star, B Star
pc_f_star, F Star
pc_g_star, G Star
pc_k_star, K Star
pc_m_star, M Star
pc_black_hole, Black Hole
pc_neutron_star, Neutron Star
pc_pulsar, Pulsar
pc_ringworld_habitable, TODO
pc_ringworld_habitable_damaged, TODO
pc_ringworld_tech, TODO
pc_ringworld_tech_damaged, TODO
